length,model,gauge,sequence,absrel,rmse,delta1,temporal_delta,opw,tce,failed,catastrophic,n
256,midas_256,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.13582966632453322,1.0472752551846773,0.8343740267558628,0.1667579071194518,0.036043411659491646,0.047432698928904206,0,0,4
256,midas_256,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.22274691630444401,1.577188302486586,0.663239905245757,0.3530779321209278,0.06790862354991745,0.08057020646478541,0,0,3
256,midas_256,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.1877194907476539,1.349180566963245,0.7529527472529499,0.3236828224331725,0.05845102364461606,0.070692077375125,0,0,3
256,dpt_common,median,rgbd_dataset_freiburg3_sitting_rpy,0.29434764968699145,1.6293629316016587,0.5498018925227102,1.353699169283599,0.1308406100314362,0.13916331375429977,0,0,3
256,dpt_common,median,rgbd_dataset_freiburg3_sitting_xyz,0.626771346172232,202.73236768960058,0.7201434209166042,17.613664933746936,0.4902763237328582,0.49984512476705645,2,1,4
256,dpt_common,median,rgbd_dataset_freiburg3_walking_rpy,1.0700253418637622,337.1094566324579,0.5605353715727172,21.585515200546364,0.8812273901078044,0.8913559104898242,2,1,3
256,dpt_common,median,rgbd_dataset_freiburg3_walking_xyz,0.3062596443602858,39.96277261593991,0.619298150920126,7.047725642584508,0.13084960973146068,0.14095456362368636,1,0,3
256,dpt_common,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.21340566349691945,1.485956472797392,0.6502610968398681,0.16671392652723524,0.056903990658858476,0.06767506288217517,0,0,3
256,dpt_common,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.14596317255522853,1.0638623469571422,0.8068127138194626,0.1608003765928979,0.045211147049174207,0.05631255634655599,0,0,4
256,dpt_common,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.2111646970843683,1.5366980727043031,0.692294729695935,0.29123732622931986,0.07025612203370579,0.0826828569868652,0,0,3
256,dpt_common,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.19998725458270986,1.3588551418754116,0.7056576435526201,0.2276932809867111,0.0612141594960961,0.07346709708693706,0,0,3
8,sparse_k30,none,rgbd_dataset_freiburg3_sitting_rpy,0.21287743620148708,1.5649009840486476,0.7525484317614041,0.17927580310400001,0.029873531577952805,0.04258013497969167,0,0,99
8,sparse_k30,none,rgbd_dataset_freiburg3_sitting_xyz,0.09873001337228521,0.5453099877650949,0.8982467075724169,0.13159130648114628,0.012534618926404947,0.025502642020131857,0,0,152
8,sparse_k30,none,rgbd_dataset_freiburg3_walking_rpy,0.3059877128472191,1.6872567862673136,0.6790210268069108,0.2308989569505371,0.05217516160106661,0.06856015660191346,0,2,108
8,sparse_k30,none,rgbd_dataset_freiburg3_walking_xyz,0.21545684358206596,1.123519970964379,0.7613016822822707,0.2504486590830529,0.043369232957489866,0.0586088918548884,0,0,103
8,sparse_k30,median,rgbd_dataset_freiburg3_sitting_rpy,0.1827096362187683,1.2705078602245257,0.7822343398757488,0.2338368837946077,0.0371682508317951,0.04947572731624232,0,1,99
8,sparse_k30,median,rgbd_dataset_freiburg3_sitting_xyz,0.06599521319588462,0.5101900418006493,0.9432723434650022,0.13088824209946215,0.012337070955608459,0.025359378379322676,0,0,152
8,sparse_k30,median,rgbd_dataset_freiburg3_walking_rpy,0.2825782841373765,1.5777655751497732,0.6766672632790602,0.2695076397999569,0.05547046863194463,0.07177246452350301,0,1,108
8,sparse_k30,median,rgbd_dataset_freiburg3_walking_xyz,0.1806777558322668,1.063705443078702,0.7890836777394054,0.2502661266373199,0.041753468344401835,0.057105504960102756,0,0,103
8,sparse_k30,scaleshift,rgbd_dataset_freiburg3_sitting_rpy,0.14234645476462554,2.0608162964414456,0.7973639734875331,0.1275049736682987,0.020788256541751645,0.03421929432645343,1,0,99
8,sparse_k30,scaleshift,rgbd_dataset_freiburg3_sitting_xyz,0.06574491265869774,0.532727646675734,0.9446093799874885,0.12668492371230422,0.012052204417752234,0.02518725739448827,0,0,152
8,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_rpy,0.3937566482732127,20.648297388273228,0.638678484566557,0.6665320009554899,0.11709963626658168,0.1345566697642996,6,2,108
8,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_xyz,0.17331858236246034,1.2030954875658881,0.7685642147626477,0.24627631488314283,0.03091419565477445,0.04710734030682512,0,0,103
8,sparse_k5,none,rgbd_dataset_freiburg3_sitting_rpy,0.21164431758414445,1.561197086237413,0.753183531076384,0.18263137942612773,0.031386471900676706,0.04399666049310301,0,0,99
