length,model,gauge,aggregation,absrel,rmse,delta1,tce,clips,failed,catastrophic
8,sparse_k5,scaleshift,source_pixel_pooled,0.18370835246507877,10.175915054366007,0.8031821208842401,0.05896980797793692,462,6,2
8,sparse_k5,scaleshift,equal_sequence,0.19368345905079573,6.099089056713725,0.7884972859944828,0.0615542258815021,462,6,2
8,dense_carry,none,source_pixel_pooled,0.1998904404255005,1.253966083801711,0.7873013347343157,0.04430688198829583,462,0,2
8,dense_carry,none,equal_sequence,0.21065567313397954,1.2217417444478038,0.7750909707301323,0.04656162447491709,462,0,2
8,dense_carry,median,source_pixel_pooled,0.16860538924136026,1.1117941024189637,0.8145415123713823,0.04619028048115786,462,0,1
8,dense_carry,median,equal_sequence,0.17940211780571397,1.0857238428763387,0.8005435327802429,0.04862098225644235,462,0,1
8,dense_carry,scaleshift,source_pixel_pooled,0.1945644827228172,10.916961042919256,0.8020472079564265,0.057241724010225904,462,7,2
8,dense_carry,scaleshift,equal_sequence,0.20520133059915535,6.488863478803772,0.7867832966411117,0.059730826944785056,462,7,2
8,dense_reset,none,source_pixel_pooled,0.2017510922670798,1.2750588604059692,0.7811509413409772,0.050448173482637804,462,0,2
8,dense_reset,none,equal_sequence,0.21270249310053746,1.242549853242986,0.7682657978336328,0.053266866876333835,462,0,2
8,dense_reset,median,source_pixel_pooled,0.17003828296624818,1.1149921404217864,0.8110406288530521,0.053190932812117245,462,0,1
8,dense_reset,median,equal_sequence,0.18093543366047424,1.091040843036672,0.7967670315132787,0.05628290377507696,462,0,1
8,dense_reset,scaleshift,source_pixel_pooled,0.16693131707309208,8.673129350319877,0.7979246164342912,0.05025977037760353,462,8,2
8,dense_reset,scaleshift,equal_sequence,0.1765415434353735,5.182968140042212,0.7823704965454035,0.052448730292387974,462,8,2
8,output_hold,none,source_pixel_pooled,0.20263526075001378,1.2778355338428387,0.7802972058543859,0.04849928431589702,462,0,2
8,output_hold,none,equal_sequence,0.21345828553894078,1.2463005811750758,0.7676937588860087,0.051064455793308386,462,0,2
8,output_hold,median,source_pixel_pooled,0.17130858128827833,1.121073691045571,0.8094707352503124,0.05097247809332812,462,0,1
8,output_hold,median,equal_sequence,0.18212747871423432,1.0977013015443802,0.7955446425563822,0.053787114887323795,462,0,1
8,output_hold,scaleshift,source_pixel_pooled,0.167699691565236,8.5613416777441,0.7964587561229606,0.04835377505504384,462,8,2
8,output_hold,scaleshift,equal_sequence,0.17717832892286592,5.1544554552966915,0.7811227909842998,0.050386861342774515,462,8,2
8,da2_256,median,source_pixel_pooled,1.0709915367440919,140.74007649413758,0.7274173359579396,0.8180811814110532,462,320,134
8,da2_256,median,equal_sequence,1.0303408666031155,128.4262988214764,0.7190854594111141,0.813658513119197,462,320,134
8,da2_256,scaleshift,source_pixel_pooled,0.2074452103563216,16.934868038237695,0.8305178232723376,0.12848339120540744,462,45,9
8,da2_256,scaleshift,equal_sequence,0.21860505028084093,13.572121038140342,0.823104691626636,0.13552110541602658,462,45,9
8,midas_256,median,source_pixel_pooled,39.765555961937345,14984.038329516557,0.7161953210845622,29.160253631308414,462,113,110
8,midas_256,median,equal_sequence,35.66051038040713,14156.90295583779,0.7071121771970037,27.54238621695681,462,113,110
8,midas_256,scaleshift,source_pixel_pooled,0.15386563265129274,9.521080471156122,0.8270099073656728,0.07164182776355157,462,22,5
8,midas_256,scaleshift,equal_sequence,0.15781270397612346,8.893397079221284,0.8224243066124394,0.07422115026525215,462,22,5
8,dpt_common,median,source_pixel_pooled,0.47826171035715304,180.05747574903776,0.7389908698697103,0.34581830853246914,462,22,17
8,dpt_common,median,equal_sequence,0.4639563562252278,129.94416676176652,0.7311680253146632,0.3383437108380635,462,22,17
8,dpt_common,scaleshift,source_pixel_pooled,0.18096326596613393,10.489031118683274,0.8401571905893205,0.10038261448147927,462,9,7
8,dpt_common,scaleshift,equal_sequence,0.18550000906403544,8.638652940341808,0.8359154805120077,0.1032357086321555,462,9,7
