model,gauge,source,params,input,future_frames,absrel,rmse,delta1,tce,failed,catastrophic,n
da2_common,scaleshift,bonn,24785089,252x252,False,0.06945162730772202,0.2643752368680027,0.9692897119272527,0.027170153858687103,0,0,398
da2_common,scaleshift,balanced,24785089,252x252,False,0.1233322401201401,6.772709021667239,0.9218894748386126,0.05623566747759051,7,3,487
da2_official,median,tum,24785089,518x518,False,0.5429559398979588,107.13904733962083,0.8837034028938541,0.5240718063707706,84,9,89
da2_official,median,bonn,24785089,518x518,False,0.5793272037761988,31.37122664402475,0.46161525581881135,0.18494048219462741,41,17,398
da2_official,median,balanced,24785089,518x518,False,0.5611415718370788,69.2551369918228,0.6726593293563328,0.354506144282699,125,26,487
da2_official,scaleshift,tum,24785089,518x518,False,0.3549021005889286,25.7688400361225,0.8806499732407691,0.17023563213315646,18,7,89
da2_official,scaleshift,bonn,24785089,518x518,False,0.058007053173101834,0.23748295917781728,0.9735584660003428,0.023421424312247124,0,0,398
da2_official,scaleshift,balanced,24785089,518x518,False,0.20645457688101523,13.00316149765016,0.9271042196205559,0.09682852822270178,18,7,487
zoe_common,none,tum,345073307,256x256,False,0.37977440844680277,2.1298252773890556,0.21301675994162583,0.016360999448986748,0,0,89
zoe_common,none,bonn,345073307,256x256,False,0.42698793788688716,1.5080221567321905,0.17296702207936746,0.01632240148106845,0,19,398
zoe_common,none,balanced,345073307,256x256,False,0.40338117316684496,1.8189237170606232,0.19299189101049663,0.0163417004650276,0,19,487
zoe_common,median,tum,345073307,256x256,False,0.2618412598984269,1.6324813947962467,0.6119654900018773,0.0174126128454063,0,0,89
zoe_common,median,bonn,345073307,256x256,False,0.27259368858942173,0.8258508471697596,0.5962634765703655,0.0213609321123094,0,5,398
zoe_common,median,balanced,345073307,256x256,False,0.2672174742439243,1.2291661209830032,0.6041144832861214,0.019386772478857853,0,5,487
zoe_common,scaleshift,tum,345073307,256x256,False,0.2310836739024166,1.773135255052429,0.6206651562463791,0.028605024247783373,1,0,89
zoe_common,scaleshift,bonn,345073307,256x256,False,0.34727941832216036,20.438415256985863,0.6145546700640822,0.15527212584624323,29,11,398
zoe_common,scaleshift,balanced,345073307,256x256,False,0.28918154611228847,11.105775256019147,0.6176099131552306,0.0919385750470133,30,11,487
zoe_official,none,tum,345073307,512x512,False,0.1277776216250202,1.2690161121019154,0.834165775340354,0.03292312749710445,0,0,89
zoe_official,none,bonn,345073307,512x512,False,0.1506912678711453,0.4189793435932003,0.8301803821713614,0.022535445742603556,0,16,398
zoe_official,none,balanced,345073307,512x512,False,0.13923444474808278,0.8439977278475579,0.8321730787558577,0.027729286619854004,0,16,487
zoe_official,median,tum,345073307,512x512,False,0.11898276122484022,1.260732839270102,0.8415181014803975,0.03286125729049606,0,0,89
zoe_official,median,bonn,345073307,512x512,False,0.07236024092751987,0.2608563435215882,0.9497814280211827,0.02132716814676891,0,0,398
zoe_official,median,balanced,345073307,512x512,False,0.09567150107618005,0.7607945913958452,0.8956497647507902,0.027094212718632486,0,0,487
zoe_official,scaleshift,tum,345073307,512x512,False,0.11763807494095238,1.2811479892217776,0.8824368148536517,0.029207730297310035,0,0,89
zoe_official,scaleshift,bonn,345073307,512x512,False,0.06062813287782297,0.24016175621095232,0.9744469639296989,0.019578545290195714,0,0,398
zoe_official,scaleshift,balanced,345073307,512x512,False,0.08913310390938767,0.760654872716365,0.9284418893916753,0.024393137793752875,0,0,487
