model,gauge,source,clip_mean,clip_median,clip_p90,clip_p95,clip_max,failed,catastrophic,n
da2_official,median,balanced,0.8221780043353935,0.40877048671245575,0.8319093585014343,1.1763299703598022,60.01935160160065,125,26,487
da2_official,scaleshift,tum,0.3445046120480205,0.09734691679477692,0.45618242025375366,1.596616268157959,4.9592485427856445,18,7,89
da2_official,scaleshift,bonn,0.05893246590712075,0.04892970249056816,0.11040052026510239,0.13310039043426514,0.2569557726383209,0,0,398
da2_official,scaleshift,balanced,0.20171853897757064,0.07313830964267254,0.283291470259428,0.8648583292961121,2.6081021577119827,18,7,487
zoe_common,none,tum,0.38110565938306656,0.37778517603874207,0.4303688704967499,0.436942458152771,0.5838292241096497,0,0,89
zoe_common,none,bonn,0.47050273480202687,0.40113338828086853,0.6000497341156006,0.871580958366394,2.231823205947876,0,19,398
zoe_common,none,balanced,0.4258041970925467,0.3894592821598053,0.5152093023061752,0.6542617082595825,1.4078262150287628,0,19,487
zoe_common,median,tum,0.26057411613089315,0.23295360803604126,0.3769911229610443,0.46730974316596985,0.6041608452796936,0,0,89
zoe_common,median,bonn,0.2671986817798797,0.2210036963224411,0.4737255573272705,0.6636489629745483,1.2655967473983765,0,5,398
zoe_common,median,balanced,0.26388639895538646,0.22697865217924118,0.4253583401441574,0.5654793530702591,0.934878796339035,0,5,487
zoe_common,scaleshift,tum,0.2300908649235629,0.21103127300739288,0.3380239009857178,0.3838595151901245,0.4517524242401123,1,0,89
zoe_common,scaleshift,bonn,0.3405293400829948,0.1994173750281334,0.40484097599983215,0.5514304041862488,9.081337928771973,29,11,398
zoe_common,scaleshift,balanced,0.2853101025032788,0.20522432401776314,0.37143243849277496,0.46764495968818665,4.7665451765060425,30,11,487
zoe_official,none,tum,0.12822777593738577,0.12529121339321136,0.15222138166427612,0.15606817603111267,0.21753162145614624,0,0,89
zoe_official,none,bonn,0.19361013712726496,0.11003479734063148,0.27458760142326355,0.5996375679969788,2.1615636348724365,0,16,398
zoe_official,none,balanced,0.16091895653232535,0.11766300536692142,0.21340449154376984,0.3778528720140457,1.1895476281642914,0,16,487
zoe_official,median,tum,0.11943463252836399,0.11361987143754959,0.14139710366725922,0.15638278424739838,0.21394199132919312,0,0,89
zoe_official,median,bonn,0.07476811362407053,0.0694119781255722,0.10853306949138641,0.1286335587501526,0.3489931523799896,0,0,398
zoe_official,median,balanced,0.09710137307621726,0.0915159247815609,0.12496508657932281,0.14250817149877548,0.28146757185459137,0,0,487
zoe_official,scaleshift,tum,0.11820922423614545,0.11823293566703796,0.13255272805690765,0.1350793093442917,0.17574672400951385,0,0,89
zoe_official,scaleshift,bonn,0.06275953674085213,0.055277999490499496,0.1058272272348404,0.12078950554132462,0.28145483136177063,0,0,398
zoe_official,scaleshift,balanced,0.0904843804884988,0.08675546757876873,0.11918997764587402,0.12793440744280815,0.22860077768564224,0,0,487
