scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L8_existing_487,zoe_official,median,rgbd_bonn_person_tracking2,0.06573745438132035,0.21472122707277996,0.977512328322208,0.020779911665293974,0,0,70
L8_existing_487,zoe_official,median,rgbd_bonn_static_close_far,0.0772413021469751,0.30113187523420015,0.9369801209655398,0.01967222594484949,0,0,217
L8_existing_487,zoe_official,median,rgbd_dataset_freiburg3_walking_static,0.11898276122484022,1.260732839270102,0.8415181014803975,0.03286125729049606,0,0,89
L8_existing_487,zoe_official,scaleshift,rgbd_bonn_crowd2,0.05691882117933678,0.24236988338059098,0.9643725424187978,0.02507205657848432,0,0,111
L8_existing_487,zoe_official,scaleshift,rgbd_bonn_person_tracking2,0.05083299700589276,0.17209676911445013,0.9922963428874878,0.017179632202003164,0,0,70
L8_existing_487,zoe_official,scaleshift,rgbd_bonn_static_close_far,0.06636915949683901,0.2597017196101575,0.9736019899287915,0.017359479449598484,0,0,217
L8_existing_487,zoe_official,scaleshift,rgbd_dataset_freiburg3_walking_static,0.11763807494095238,1.2811479892217776,0.8824368148536517,0.029207730297310035,0,0,89
L256_existing_13,sparse_k30,none,rgbd_bonn_crowd2,0.1973858280079338,0.48738888800678665,0.7832716743119952,0.0378028889253595,0,0,3
L256_existing_13,sparse_k30,none,rgbd_bonn_person_tracking2,0.12091410680193324,0.4731550319206678,0.8365882719731678,0.02334644524469779,0,0,2
L256_existing_13,sparse_k30,none,rgbd_bonn_static_close_far,0.34555619549875394,1.2336008212595262,0.3112083055949143,0.016295219384711686,0,0,6
L256_existing_13,sparse_k30,none,rgbd_dataset_freiburg3_walking_static,0.18240383752706202,0.8959013470316474,0.8188557268726154,0.04034977109755476,0,0,2
L256_existing_13,sparse_k30,median,rgbd_bonn_crowd2,0.20403015928801532,0.4912831296610549,0.7807092190784971,0.038731943417303995,0,0,3
L256_existing_13,sparse_k30,median,rgbd_bonn_person_tracking2,0.121608379092379,0.44789995331970595,0.8586942165174085,0.02438835611499442,0,0,2
L256_existing_13,sparse_k30,median,rgbd_bonn_static_close_far,0.2310427294715364,0.591196744109812,0.7340530723889273,0.018171984371582878,0,0,6
L256_existing_13,sparse_k30,median,rgbd_dataset_freiburg3_walking_static,0.17992917046491955,0.9314426970742528,0.8120705937727958,0.042571254152936354,0,0,2
L256_existing_13,sparse_k30,scaleshift,rgbd_bonn_crowd2,0.17303610906460198,0.518558806184266,0.7703578219447456,0.04143658304102406,0,0,3
L256_existing_13,sparse_k30,scaleshift,rgbd_bonn_person_tracking2,0.11582418962133087,0.46560576364083467,0.8714461611729362,0.021565490957198036,0,0,2
L256_existing_13,sparse_k30,scaleshift,rgbd_bonn_static_close_far,0.30362370853744064,15.71219917450511,0.6614354033467895,0.06337941712740892,2,0,6
L256_existing_13,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_static,0.18996622979365738,0.9392140110805159,0.774753240496947,0.038305532339379195,0,0,2
