scope,left,right,gauge,metric,left_equal_sequence,right_equal_sequence,difference,ci_low,ci_high,sign_flip_p,sequence_n,bootstrap_draws,sign_flip_draws
L256_existing_13,sparse_k30,delta_sp,scaleshift,delta1,0.7694981567403546,0.7695879402990367,-8.978355868202725e-05,-0.00040863618365577503,0.0002995539482464338,0.75,4,256,16
L256_existing_13,sparse_k30,delta_sp,scaleshift,tce,0.04117175586625255,0.04167223204154061,-0.000500476175288052,-0.0015589663642797602,8.833750953422294e-05,0.625,4,256,16
L256_existing_13,sparse_k30,drop_sp,none,absrel,0.21156499195892076,0.2114676777301377,9.731422878307e-05,-0.0013756409965608452,0.0015702694541269852,1.0,4,256,16
L256_existing_13,sparse_k30,drop_sp,none,delta1,0.6874809946881731,0.6915287907722945,-0.004047796084121313,-0.008912966114519527,0.0008173739462769003,0.5,4,256,16
L256_existing_13,sparse_k30,drop_sp,none,tce,0.029448581163080932,0.03058839812491277,-0.0011398169618318382,-0.0012814231474885598,-0.0009377445384202241,0.125,4,256,16
L256_existing_13,sparse_k30,drop_sp,median,absrel,0.18415260957921256,0.18527491118090633,-0.0011223016016937565,-0.0021901719219986765,0.0005305854152254791,0.25,4,256,16
L256_existing_13,sparse_k30,drop_sp,median,delta1,0.7963817754394071,0.7959339697359764,0.00044780570343080917,-0.0021511086609946883,0.0030454565362845742,0.625,4,256,16
L256_existing_13,sparse_k30,drop_sp,median,tce,0.03096588451420441,0.03214716003022586,-0.0011812755160214468,-0.0013019441103750383,-0.0010606069216678553,0.125,4,256,16
L256_existing_13,sparse_k30,drop_sp,scaleshift,absrel,0.19561255925425772,0.21752565874838287,-0.02191309949412516,-0.06313980633824057,-0.00025760917869488073,0.25,4,256,16
L256_existing_13,sparse_k30,drop_sp,scaleshift,delta1,0.7694981567403546,0.767624766077415,0.0018733906629395392,-0.0005183224910556838,0.004265056288923097,0.375,4,256,16
L256_existing_13,sparse_k30,drop_sp,scaleshift,tce,0.04117175586625255,0.05122753327365341,-0.01005577740740086,-0.027639377918942682,-0.001174864759238203,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,none,absrel,0.21156499195892076,0.19874328121417884,0.012821710744741921,-0.0015230348053003814,0.027692313735812733,0.375,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,none,delta1,0.6874809946881731,0.7197897771936461,-0.03230878250547298,-0.051672364210998634,-0.01294520079994732,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,none,tce,0.029448581163080932,0.024912083898104266,0.0045364972649766695,0.002478787125458366,0.006344908580738615,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,median,absrel,0.18415260957921256,0.16758135117288633,0.016571258406326228,0.0025189905871835575,0.033504409126895,0.25,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,median,delta1,0.7963817754394071,0.833968100168431,-0.037586324729023846,-0.0506716938612084,-0.02450095559683929,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,median,tce,0.03096588451420441,0.026071078451961396,0.004894806062243015,0.0025496096287424127,0.006906068417550929,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,scaleshift,absrel,0.19561255925425772,0.16597155537861616,0.029641003875641565,0.00118520784731653,0.06579749957498965,0.25,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,scaleshift,delta1,0.7694981567403546,0.8006027695545277,-0.03110461281417315,-0.04974244777511816,-0.01246677785322814,0.125,4,256,16
L256_existing_13,sparse_k30,delta_no_sp,scaleshift,tce,0.04117175586625255,0.026741412294530597,0.014430343571721956,0.004607359819060283,0.031799645338416824,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,none,absrel,0.21156499195892076,1.5378861577710699,-1.3263211658121492,-2.2290481536009463,-0.7772758584468762,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,none,delta1,0.6874809946881731,0.3335067932940835,0.35397420139408964,0.18683849181565493,0.4826000361228685,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,none,tce,0.029448581163080932,0.5848347989664127,-0.5553862178033317,-0.6919624515451182,-0.41880998406154524,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,median,absrel,0.18415260957921256,0.9407277810300759,-0.7565751714508633,-1.0024930027228651,-0.5106573401788614,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,median,delta1,0.7963817754394071,0.29705617509094295,0.49932560034846424,0.42702497937449135,0.5573145747753869,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,median,tce,0.03096588451420441,0.42789762185096597,-0.3969317373367616,-0.535525078786194,-0.2983743999843973,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,scaleshift,absrel,0.19561255925425772,0.32504717584475346,-0.12943461659049577,-0.22424197289738082,-0.07764305000337213,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,scaleshift,delta1,0.7694981567403546,0.4381875096119271,0.3313106471284274,0.24193246482038044,0.45243030520990074,0.125,4,256,16
L256_existing_13,sparse_k30,drop_no_sp,scaleshift,tce,0.04117175586625255,0.05465918003751775,-0.013487424171265193,-0.050931412128987746,0.0236520858393216,0.625,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,none,absrel,0.21156499195892076,0.2088117515734648,0.002753240385455949,-0.009101113261660146,0.014607594032572044,0.875,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,none,delta1,0.6874809946881731,0.7056121633323058,-0.018131168644132598,-0.03304391908102916,-0.003613479965659333,0.25,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,none,tce,0.029448581163080932,0.025039144630480927,0.004409436532600005,0.0027149474554830065,0.005808584403019501,0.125,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,median,absrel,0.18415260957921256,0.17791517190150766,0.006237437677704908,-0.004952787578044123,0.01732021348640808,0.375,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,median,delta1,0.7963817754394071,0.8184109108529907,-0.022029135413583506,-0.033497001804561444,-0.010561269022605568,0.125,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,median,tce,0.03096588451420441,0.025902789906447433,0.005063094607756979,0.00340632435537678,0.00641916730395961,0.125,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,scaleshift,absrel,0.19561255925425772,0.1741760445506761,0.021436514703581627,-0.008512754549770657,0.06292470771284425,0.5,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,scaleshift,delta1,0.7694981567403546,0.7882286593739855,-0.01873050263363088,-0.033544769849434386,-0.003916235417827374,0.125,4,256,16
L256_existing_13,sparse_k30,temporal_cache_only,scaleshift,tce,0.04117175586625255,0.02570656478596143,0.015465191080291124,0.005252708396815557,0.03463142762191995,0.125,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,none,absrel,0.21156499195892076,0.21156499195892076,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,none,delta1,0.6874809946881731,0.6874809946881731,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,none,tce,0.029448581163080932,0.029448581163080932,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,median,absrel,0.18415260957921256,0.18415260957921256,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,median,delta1,0.7963817754394071,0.7963817754394071,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,median,tce,0.03096588451420441,0.03096588451420441,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,scaleshift,absrel,0.19561255925425772,0.19561255925425772,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,scaleshift,delta1,0.7694981567403546,0.7694981567403546,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,both_cache_replay,scaleshift,tce,0.04117175586625255,0.04117175586625255,0.0,0.0,0.0,1.0,4,256,16
L256_existing_13,sparse_k30,output_hold,none,absrel,0.21156499195892076,0.20912025346043508,0.002444738498485668,-0.008238231914771396,0.01172657606872144,0.875,4,256,16
L256_existing_13,sparse_k30,output_hold,none,delta1,0.6874809946881731,0.7151003434846772,-0.027619348796504017,-0.04140076076284932,-0.013837936830158715,0.125,4,256,16
L256_existing_13,sparse_k30,output_hold,none,tce,0.029448581163080932,0.028911962000788886,0.0005366191622920495,-0.0010825843274053387,0.002239637929458015,0.75,4,256,16
