model,source,sequence,clip_id,mean_ms,p50_ms,p95_ms,max_ms,repeat_min_ms,repeat_max_ms,peak_allocated_mib,state_mib,keyframes,dense_fallbacks,gmc_calls,gmc_fallbacks,frames,repeats
midas_256,bonn,rgbd_bonn_person_tracking2,bonn:3,9.321771656618694,9.351729007903486,9.505546239961404,10.655133984982967,9.263293398589667,9.443634594504147,156.75244140625,0.0,0,0,0,0,256,5
midas_256,bonn,rgbd_bonn_static_close_far,bonn:5,9.415459098772772,9.451263496885076,9.543263648811262,11.029207991668954,9.360680440408942,9.470322248375851,156.75244140625,0.0,0,0,0,0,256,5
gmc_k30,tum,rgbd_dataset_freiburg3_walking_static,tum:0,8.63424453452808,8.672290510730818,8.951481948315632,9.719101013615727,8.508231113523834,8.701217750171963,63.86865234375,13.5009765625,9,207,247,0,256,5
gmc_k30,bonn,rgbd_bonn_crowd2,bonn:0,8.385730738632446,8.440250996500254,8.599491181666963,13.507630006643012,8.25475308181467,8.458287265966646,63.86865234375,13.5009765625,9,211,247,0,256,5
gmc_k30,bonn,rgbd_bonn_person_tracking2,bonn:3,8.436482228148634,8.443179001915269,8.76390577031998,13.47869000164792,8.355603782206344,8.459696960699148,63.86865234375,13.5009765625,9,212,247,0,256,5
gmc_k30,bonn,rgbd_bonn_static_close_far,bonn:5,8.60753257518354,8.608569492935203,8.872931603400502,10.3655599814374,8.531632073754736,8.642749551540874,63.86865234375,13.5009765625,9,127,247,0,256,5
da2_518,tum,rgbd_dataset_freiburg3_walking_static,tum:0,14.544176043182233,14.575601991964504,14.660819254640955,15.341035003075376,14.415510186609026,14.601240245497138,209.85107421875,0.0,0,0,0,0,256,5
da2_518,bonn,rgbd_bonn_crowd2,bonn:0,14.306594470281198,14.313105508335866,14.426932696369477,15.150174993323162,14.242540912732693,14.329022843412531,209.85107421875,0.0,0,0,0,0,256,5
da2_518,bonn,rgbd_bonn_person_tracking2,bonn:3,14.379865947307735,14.363473004777916,14.513028897636104,18.44582997728139,14.346071740192201,14.397431265138039,209.85107421875,0.0,0,0,0,0,256,5
da2_518,bonn,rgbd_bonn_static_close_far,bonn:5,14.472590319110168,14.485015490208752,14.57492544723209,15.246413997374475,14.395521908681985,14.495979854586949,209.85107421875,0.0,0,0,0,0,256,5
sparse_k30,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.489301907980916,7.89665499178227,8.177153981523588,8.338266983628273,7.363341473478613,7.555560523201166,63.67822265625,13.5009765625,9,15,0,0,256,5
sparse_k30,bonn,rgbd_bonn_crowd2,bonn:0,7.706703386065783,7.665145501960069,7.965701892680954,8.627361006801948,7.546453343934445,7.77724551198844,63.67822265625,13.5009765625,9,89,0,0,256,5
sparse_k30,bonn,rgbd_bonn_person_tracking2,bonn:3,7.811686574655141,7.888883992563933,8.028357719013002,8.288454002467915,7.808530691590931,7.816397254714502,63.67822265625,13.5009765625,9,56,0,0,256,5
sparse_k30,bonn,rgbd_bonn_static_close_far,bonn:5,6.9920534262564615,6.277883003349416,8.061397353594657,8.255129010649398,6.985304210843424,7.000077610541666,63.67822265625,13.5009765625,9,9,0,0,256,5
output_hold,tum,rgbd_dataset_freiburg3_walking_static,tum:0,7.084918464761358,7.738620493910275,7.816878324956633,9.569509013090283,6.924247297888542,7.128941253881749,51.17919921875,1.0009765625,9,15,0,0,256,5
output_hold,bonn,rgbd_bonn_crowd2,bonn:0,7.519701140563484,7.516379497246817,7.6094920237665065,13.517037994461134,7.5102130165305425,7.542621699144547,51.17919921875,1.0009765625,9,89,0,0,256,5
output_hold,bonn,rgbd_bonn_person_tracking2,bonn:3,7.495771385424632,7.533040989073925,7.651579796220176,9.143701987341046,7.468222887268894,7.512379175409478,51.17919921875,1.0009765625,9,56,0,0,256,5
output_hold,bonn,rgbd_bonn_static_close_far,bonn:5,6.486511905586667,5.622078999294899,7.705976991564967,8.207762992242351,6.468611043146666,6.502512582073905,51.17919921875,1.0009765625,9,9,0,0,256,5
da2_256,tum,rgbd_dataset_freiburg3_walking_static,tum:0,9.672651454343395,9.722909511765465,9.78215226350585,10.201111988862976,9.57640588671893,9.706850360089447,128.61474609375,0.0,0,0,0,0,256,5
da2_256,bonn,rgbd_bonn_crowd2,bonn:0,9.477928506180433,9.471710000070743,9.57789753592806,11.027753993403167,9.45247164452212,9.491442109947457,128.61474609375,0.0,0,0,0,0,256,5
da2_256,bonn,rgbd_bonn_person_tracking2,bonn:3,9.49090906251513,9.5072514959611,9.620701613312121,9.954512002877891,9.452971007817723,9.520738766013892,128.61474609375,0.0,0,0,0,0,256,5
