scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_all_13,gmc_k30,median,equal_sequence,0.17239151629388672,0.5985681191088665,0.8139559610973512,0.03073731550828027,0,0,13
L256_all_13,gmc_k30,scaleshift,balanced,0.22714427897890824,8.935359121388045,0.7662371077790013,0.06945492643453975,3,1,13
L256_all_13,gmc_k30,scaleshift,equal_sequence,0.2103236479629577,6.368872522909632,0.7856972209999687,0.06681370391375564,3,1,13
L256_all_13,da2_196,median,balanced,0.5661052579330919,25.07089954763365,0.4838760074280243,0.2725970381919776,10,1,13
L256_all_13,da2_196,median,equal_sequence,0.5444219096944015,17.786123049833893,0.4487974692176333,0.23157522971269218,10,1,13
L256_all_13,da2_196,scaleshift,balanced,0.20237681472657654,0.8880403314052565,0.6797036927855125,0.06389396382920366,0,0,13
L256_all_13,da2_196,scaleshift,equal_sequence,0.18866423063731663,0.7323780304183621,0.7093127473957626,0.05519480234664599,0,0,13
L256_all_13,da2_256,median,balanced,0.7510732513920835,73.16680219122478,0.5501952845996686,0.4440457092140558,10,1,13
L256_all_13,da2_256,median,equal_sequence,0.618744915411501,44.2492124927447,0.48942070418058276,0.2989129936066025,10,1,13
L256_all_13,da2_256,scaleshift,balanced,0.21941352607553624,2.4078699517860174,0.7030734018521534,0.05909358061662817,1,0,13
L256_all_13,da2_256,scaleshift,equal_sequence,0.19411719986844567,1.4828382978391512,0.728969813776361,0.047173889087183306,1,0,13
L256_all_13,da2_350,median,balanced,0.8213931333419642,81.869406786419,0.5723131737618126,0.5607535945401364,11,3,13
L256_all_13,da2_350,median,equal_sequence,0.7210678600779028,51.43513078613499,0.48317364473436497,0.39356109614991813,11,3,13
L256_all_13,da2_350,scaleshift,balanced,0.31178313683318243,13.757604925889726,0.7277103545873195,0.13767031767446525,2,0,13
L256_all_13,da2_350,scaleshift,equal_sequence,0.24601394034994312,7.164606527948177,0.7228652632503642,0.08438159612613917,2,0,13
L256_all_13,da2_518,median,balanced,0.8728251363831303,95.69714853246887,0.5728078622140347,0.5371499072976998,11,3,13
L256_all_13,da2_518,median,equal_sequence,0.7893499680962156,66.48486751532039,0.47544900779222354,0.3878304536600854,11,3,13
L256_all_13,da2_518,scaleshift,balanced,0.6380327291059191,26.994737642446854,0.7303417426571024,0.2509280644321812,2,1,13
L256_all_13,da2_518,scaleshift,equal_sequence,0.41051082023685936,13.78594696149753,0.7214569645912673,0.13970937631029304,2,1,13
L256_all_13,midas_192,median,balanced,7.426832290386002,3642.138940227811,0.5815462231615292,10.462192797503132,4,2,13
L256_all_13,midas_192,median,equal_sequence,7.4646959275713805,2871.580481667474,0.5235220335489003,10.35356252049208,4,2,13
L256_all_13,midas_192,scaleshift,balanced,0.17425755417496377,0.9567472968888726,0.7448616529850287,0.053936290908611614,0,0,13
L256_all_13,midas_192,scaleshift,equal_sequence,0.1729321536099253,0.8052164428782599,0.7484582342160727,0.05006942203945263,0,0,13
L256_all_13,midas_256,median,balanced,2.5771070208407787,3268.6775915408634,0.5776255544542972,2.2174229633778264,7,4,13
