model,gauge,source,region,absrel,delta1,px
zoe_official,median,bonn,mid,0.05670182088837309,0.9716583039024154,113446739.0
zoe_official,median,bonn,far,0.06829309194605881,0.9932338248635423,19859817.0
zoe_official,scaleshift,tum,all,0.11763807548774356,0.8824368148536517,32147785.0
zoe_official,scaleshift,tum,edge,0.13684060654902122,0.8356774261424726,5455842.0
zoe_official,scaleshift,tum,flat,0.11371307250316603,0.891994449411195,26691943.0
zoe_official,scaleshift,tum,dynamic,0.09037956979959216,0.938843834366729,2828055.0
zoe_official,scaleshift,tum,static,0.12026731365065435,0.8769960364573617,29319730.0
zoe_official,scaleshift,tum,near,0.093632425756923,0.9460747609985218,5478418.0
zoe_official,scaleshift,tum,mid,0.07382540734772407,0.974934333007075,23736811.0
zoe_official,scaleshift,tum,far,0.517114166934813,0.014855300290940735,2932556.0
zoe_official,scaleshift,bonn,all,0.060628133040574766,0.9744469639296989,177396024.0
zoe_official,scaleshift,bonn,edge,0.0951623621077986,0.9148455083926776,12062241.0
zoe_official,scaleshift,bonn,flat,0.058108622373571554,0.9787953016232623,165333783.0
zoe_official,scaleshift,bonn,dynamic,0.0846252425291697,0.9320163131879539,23694449.0
zoe_official,scaleshift,bonn,static,0.0569287675134353,0.9809880217557952,153701575.0
zoe_official,scaleshift,bonn,near,0.07927234940984146,0.9559753136508701,44089468.0
zoe_official,scaleshift,bonn,mid,0.05307583267143425,0.9811654524507751,113446739.0
zoe_official,scaleshift,bonn,far,0.06237891753344112,0.9770761231082844,19859817.0
