model,gauge,source,clip_id,sequence,first_rgb,absrel,failed,catastrophic,neg_frac,top5_within_source
dpt_official,median,bonn,bonn:326,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340588.97086.png,27.18248176574707,True,True,0.0019735442474484444,True
dpt_official,median,bonn,bonn:327,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340589.23892.png,48.44295120239258,True,True,0.003537509823217988,True
dpt_official,median,bonn,bonn:328,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340589.50707.png,6.667938709259033,True,True,0.0004748778883367777,False
dpt_official,median,bonn,bonn:332,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340590.57951.png,0.33789828419685364,True,False,4.2262659007974435e-06,False
dpt_official,median,bonn,bonn:333,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340590.84766.png,1.6273224353790283,True,True,9.954316192306578e-05,False
dpt_official,median,bonn,bonn:334,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340591.11618.png,7.842160701751709,True,True,0.0005332051659934223,False
dpt_official,median,bonn,bonn:335,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340591.38417.png,4.833538055419922,True,True,0.000289743096800521,False
dpt_official,median,bonn,bonn:336,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340591.68593.png,3.6861026287078857,True,True,0.0002268739481223747,False
dpt_official,median,bonn,bonn:337,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340591.95424.png,3.4388186931610107,True,True,0.00021372993069235235,False
dpt_official,median,bonn,bonn:338,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340592.22235.png,18.393905639648438,True,True,0.0011698745656758547,True
dpt_official,median,bonn,bonn:339,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340592.49039.png,10.509371757507324,True,True,0.0005973813240416348,True
dpt_official,median,bonn,bonn:340,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340592.75841.png,6.475828170776367,True,True,0.0003389567427802831,False
dpt_official,median,bonn,bonn:341,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340593.02654.png,2.6634576320648193,True,True,0.00012518747826106846,False
dpt_official,median,bonn,bonn:342,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340593.29470.png,2.308990478515625,True,True,9.867839253274724e-05,False
dpt_official,median,bonn,bonn:349,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340595.17104.png,0.5039686560630798,True,False,2.217343990196241e-06,False
dpt_official,median,bonn,bonn:351,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340595.70708.png,0.5238263010978699,True,False,2.2172653189045377e-06,False
dpt_official,median,bonn,bonn:353,rgbd_bonn_static_close_far,/home/hyunsu/dataset_ssd/bonn/rgbd_bonn_dataset/rgbd_bonn_static_close_far/rgb/1548340596.24375.png,1.1297930479049683,True,True,3.722649489645846e-05,False
