model,source,sequence,read_decode_preprocess,h2d,detector,gmc,embedding,backbone,decoder,network_and_output_resize,d2h,profile_total_ms,other_ms
midas_384,bonn,rgbd_bonn_person_tracking2,7.593705508611492,0.20020283693611418,0.0,0.0,0.0,0.0,0.0,3.531438065351722,0.05358479268124938,11.408138053070616,0.029206849490037712
midas_384,bonn,rgbd_bonn_static_close_far,7.677212401063116,0.19991256317553052,0.0,0.0,0.0,0.0,0.0,3.5384648236913563,0.05380861716730578,11.498974909386561,0.029576504289252625
sparse_k10,tum,rgbd_dataset_freiburg3_walking_static,5.337350569334376,0.11174969552030234,0.10090287491948402,0.0,0.05283353186769091,1.5133023247244637,0.3528180429839267,0.0,0.049798795089373016,7.61975386751601,0.10099803307639377
sparse_k10,bonn,rgbd_bonn_crowd2,5.067640527727235,0.11239196840051591,0.10121284969955013,0.0,0.05281484209262999,1.9273116912472688,0.34864862129779794,0.0,0.05056315956153412,7.763484280758348,0.10290062073181616
sparse_k10,bonn,rgbd_bonn_person_tracking2,5.203569265631813,0.1130263818822641,0.10262188129672722,0.0,0.053082643944435404,1.9439244803152178,0.3560021706334737,0.0,0.050710488267213805,7.927078289981182,0.10414097801003663
sparse_k10,bonn,rgbd_bonn_static_close_far,5.199423545946047,0.11245254177083552,0.10181090146943461,0.0,0.05285377255859203,1.2418499379691639,0.34717314395038557,0.0,0.05039198845224746,7.205584457324221,0.09962862520751514
da2_196,tum,rgbd_dataset_freiburg3_walking_static,6.2696461365021605,0.07293579278666584,0.0,0.0,0.0,0.0,0.0,2.99140922368224,0.05400226189067325,9.413400456196541,0.02540704133480176
da2_196,bonn,rgbd_bonn_crowd2,5.855138343804356,0.07227969831546943,0.0,0.0,0.0,0.0,0.0,2.9893688835045396,0.05368679615003202,8.995415711297028,0.024941989522631047
da2_196,bonn,rgbd_bonn_person_tracking2,5.779313413881937,0.07174889628913661,0.0,0.0,0.0,0.0,0.0,2.9878357610186868,0.05283136977141112,8.9160266259114,0.024297184950228257
da2_196,bonn,rgbd_bonn_static_close_far,6.06919436120279,0.07228841809592268,0.0,0.0,0.0,0.0,0.0,2.98965461786338,0.053674786158808274,9.209678304387126,0.024866121066224878
dense_carry,tum,rgbd_dataset_freiburg3_walking_static,5.430544368778101,0.11221299143926444,0.015034343959996477,0.0,0.055865721151349135,1.7286897574422255,0.3455547102930723,0.0,0.05030475824696623,7.818101292855317,0.07989464154434245
dense_carry,bonn,rgbd_bonn_crowd2,5.180802022778153,0.11262280452228879,0.015209565958684834,0.0,0.055593416618648916,1.7249011049216278,0.34554562137145695,0.0,0.050383069378767686,7.565211073142564,0.08015346759293607
dense_carry,bonn,rgbd_bonn_person_tracking2,5.177747373863895,0.11231771088660025,0.01529032510916295,0.0,0.05601845157343632,1.7209617772095953,0.3431593195273308,0.0,0.05035619949467218,7.555965781534724,0.08011462387003121
dense_carry,bonn,rgbd_bonn_static_close_far,5.289634456516978,0.11240243179599929,0.015555988056803471,0.0,0.05594315564394492,1.7243454228719202,0.34451982571681583,0.0,0.05029999601902091,7.67298482435308,0.08028354773159663
