model,gauge,absrel,rmse,delta1,tce,first8_absrel,last8_absrel,late_early_relative_change,active_all,n
temporal_cache_only,none,0.2246377028111684,0.9445952520037773,0.6972148337756707,0.02795147171527404,0.15679731359714053,0.15345811260197229,-0.021296289576412386,0.24177620627663352,13
temporal_cache_only,median,0.19120992707928436,0.7557362616548544,0.8076953385106338,0.02915268235421472,0.16500169333227585,0.09576015027198849,-0.4196414088966387,0.24177620627663352,13
temporal_cache_only,scaleshift,0.19370273494340973,0.8537936488082392,0.7654793753767264,0.027536238495545803,0.18868355229482314,0.13025770987478785,-0.3096498963976645,0.24177620627663352,13
temporal_cache_only,median/frame,0.14984773371512952,0.6796264571717905,0.8436118710567566,,0.08424103389088322,0.0806354324212503,-0.04280101161036587,0.24177620627663352,13
temporal_cache_only,scaleshift/frame,0.13429364531631505,0.7073958627916153,0.8201342861111316,,0.07718959761225602,0.08069681067061449,0.045436343326676454,0.24177620627663352,13
both_cache_replay,none,0.22011143878194733,0.9197634688644952,0.6858703534811401,0.032124767920498086,0.16030104129668346,0.1586006366425928,-0.0106075708575315,0.24177620627663352,13
both_cache_replay,median,0.19067887225109947,0.7342680204764909,0.7922354599287115,0.033954088709551355,0.16895673731188848,0.10376600431688521,-0.3858427549690626,0.24177620627663352,13
both_cache_replay,scaleshift,0.2091448855232656,6.085452924236987,0.7548048430506047,0.04351147234885535,0.18475794558594552,0.130892147507257,-0.2915479380757202,0.24177620627663352,13
both_cache_replay,median/frame,0.14943347195929885,0.6643670780098094,0.8292397550424822,,0.08748795821973843,0.0876869451222719,0.0022744490394175365,0.24177620627663352,13
both_cache_replay,scaleshift/frame,0.13726682727063216,1.4442764861915784,0.8147885614942669,,0.08149009611978322,0.09032025145989438,0.10835863203709573,0.24177620627663352,13
output_hold,none,0.22327237006374792,0.9426227212906587,0.706617298273764,0.03187108823788976,0.15813374194933313,0.14552484170435614,-0.07973567240960466,0.24177620627663352,13
output_hold,median,0.19147565577097106,0.7616533312709411,0.8077917103113044,0.033169787033619225,0.15847784463909212,0.09507686011263614,-0.40006213279112646,0.24177620627663352,13
output_hold,scaleshift,0.1953090574980179,0.8915747697715807,0.768006367488921,0.031172121795485327,0.18716223139238686,0.12847985699938377,-0.3135374800590782,0.24177620627663352,13
output_hold,median/frame,0.15227440188811958,0.6967024976712289,0.8391574447547372,,0.08411928383838127,0.08252228454338811,-0.01898493689106384,0.24177620627663352,13
output_hold,scaleshift/frame,0.13753345464995415,0.6960011099780332,0.8124013922442916,,0.07701629346404458,0.07761894021695415,0.0078249254255649,0.24177620627663352,13
